Brand,SKU,Paint Name,Paint Class,Size,Count
Army Painter,WP1102,Matt White,,18 ml,1
Citadel,,Astrogranite,Technical,12 ml,1
Citadel,21-01,Averland Sunset,Base,12 ml,1
Citadel,21-02,Jokaero Orange,Base,12 ml,1
Citadel,21-03,Mephiston Red,Base,12 ml,1
Citadel,21-04,Khorne Red,Base,12 ml,2
Citadel,21-05,Naggaroth Night,Base,12 ml,1
Citadel,21-07,Kantor Blue,Base,12 ml,1
Citadel,21-08,Macragge Blue,Base,12 ml,2
Citadel,21-09,Caledor Sky,Base,12 ml,1
Citadel,21-10,Stegadon Scale Green,Base,12 ml,1
Citadel,21-11,Incubi Darkness,Base,12 ml,2
Citadel,21-12,Caliban Green,Base,12 ml,1
Citadel,21-13,Waaagh! Flesh,Base,12 ml,1
Citadel,21-14,Castellan Green,Base,12 ml,1
Citadel,21-15,Deathworld Forest,Base,12 ml,2
Citadel,21-16,Zandri Dust,Base,12 ml,1
Citadel,21-17,Steel Legion Drab,Base,12 ml,1
Citadel,21-18,Bugman's Glow,Base,12 ml,2
Citadel,21-19,Ratskin Flesh,Base,12 ml,1
Citadel,21-20,Mournfang Brown,Base,12 ml,2
Citadel,21-21,XV-88,Base,12 ml,1
Citadel,21-22,Rhinox Hide,Base,12 ml,2
Citadel,21-23,Dryad Bark,Base,12 ml,2
Citadel,21-24,Mechanicus Standard Grey,Base,12 ml,2
Citadel,21-25,Abaddon Black,Base,12 ml,4
Citadel,21-26,Celestra Grey,Base,12 ml,4
Citadel,21-27,Rakarth Flesh,Base,12 ml,3
Citadel,21-28,Leadbelcher,Base,12 ml,2
Citadel,21-29,Balthasar Gold,Base,12 ml,1
Citadel,21-30,Screaming Bell,Base,12 ml,1
Citadel,21-31,Warplock Bronze,Base,12 ml,1
Citadel,21-33,Screamer Pink,Base,12 ml,1
Citadel,21-35,Retributor Armour,Base,12 ml,2
Citadel,21-36,Thousand Sons Blue,Base,18 ml,1
Citadel,21-37,Death Guard Green,Base,12 ml,1
Citadel,21-38,Ionrach Skin,Base,12 ml,1
Citadel,21-44,Corvus Black,Base,12 ml,1
Citadel,21-46,Iron Hands Steel,Base,12 ml,1
Citadel,21-52,Corax White,Base,12 ml,1
Citadel,21-53,Wraithbone,Base,12 ml,1
Citadel,21-54,Grey Seer,Base,12 ml,2
Citadel,21-55,Runelord Brass,Base,12 ml,2
Citadel,22-01,Yriel Yellow,Layer,12 ml,1
Citadel,22-03,Troll Slayer Orange,Layer,12 ml,1
